generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
2915,2022.0106201171875,1891.526611328125,1631.8033447265625,298.6000061035156,4.78125,0.0,6.84375,13.6875,4.78125,1.0625,2.0625,0.0,5.78125,56.681251525878906,1.09375,1.9375,3.78125,9.28125,9.28125,0.0,3,3 1
2916,1971.9813232421875,1827.093017578125,1574.0322265625,293.86248779296875,4.6875,0.0,6.46875,12.875,4.59375,0.84375,1.8125,0.0,5.625,55.875,-0.375,2.0,3.6875,10.96875,10.96875,0.0,3,3 2
2917,2058.06884765625,1922.7113037109375,1658.580810546875,309.09375,4.84375,0.0,6.8125,13.625,4.78125,1.03125,2.03125,0.0,5.78125,58.931251525878906,1.125,2.0,3.84375,10.78125,10.78125,0.0,3,3 2
2918,2068.923828125,1940.295166015625,1673.552734375,333.7875061035156,4.875,0.0,6.84375,13.6875,4.84375,1.0,2.0,0.0,5.84375,58.5625,2.78125,2.0,3.875,12.40625,12.40625,0.0,3,3 2
2919,1943.248046875,1810.7933349609375,1560.169189453125,287.6875,4.65625,0.0,6.375,12.65625,4.5625,0.78125,1.75,0.0,5.5625,54.82500076293945,2.25,2.0,3.65625,9.90625,9.90625,0.0,3,3 2
2920,2006.9307861328125,1882.2230224609375,1622.820556640625,306.1875,4.78125,0.0,6.65625,13.25,4.75,0.84375,1.90625,0.0,5.75,55.71875,2.53125,2.0,3.78125,11.6875,11.6875,0.0,3,3 4
2921,2048.985595703125,1905.114990234375,1643.4879150390625,292.15625,4.8125,0.0,6.9375,13.875,4.8125,1.125,2.125,0.0,5.8125,56.875,3.53125,2.0,3.8125,10.71875,10.71875,0.0,3,3 1
2922,1985.177490234375,1860.008544921875,1603.0989990234375,277.20623779296875,4.75,0.0,6.6875,13.34375,4.6875,0.96875,2.0,0.0,5.6875,56.76874923706055,-0.6875,1.96875,3.75,11.875,11.875,0.0,3,3 1
2923,2080.321533203125,1946.3961181640625,1681.340087890625,283.7250061035156,4.875,0.0,6.625,13.1875,4.875,0.6875,1.75,0.0,5.875,59.96875,1.25,1.96875,3.875,10.375,10.375,0.0,3,3 2
2924,1990.3211669921875,1850.8695068359375,1595.8463134765625,284.0625,4.71875,0.0,6.625,13.21875,4.65625,0.9375,1.96875,0.0,5.65625,56.256248474121094,2.375,2.0,3.71875,13.6875,13.6875,0.0,3,3 1
2925,1955.0328369140625,1826.907470703125,1573.8341064453125,298.71875,4.6875,0.0,6.5,12.96875,4.65625,0.8125,1.84375,0.0,5.65625,54.787498474121094,2.3125,2.0,3.6875,13.90625,13.90625,0.0,3,3 2
2926,2007.1201171875,1867.757568359375,1610.930908203125,282.5687561035156,4.75,0.0,6.59375,13.1875,4.71875,0.875,1.875,0.0,5.71875,56.45624923706055,1.6875,1.96875,3.75,12.78125,12.78125,0.0,3,3 1
2927,1954.660400390625,1805.575927734375,1556.6236572265625,285.0687561035156,4.625,0.0,6.40625,12.75,4.59375,0.8125,1.75,0.0,5.59375,56.04375076293945,2.03125,2.0,3.625,13.0625,13.0625,0.0,3,3 2
2928,1954.4617919921875,1830.3681640625,1577.584228515625,279.53125,4.6875,0.0,6.46875,12.90625,4.59375,0.875,1.84375,0.0,5.59375,56.724998474121094,1.78125,2.0,3.6875,12.0,12.0,0.0,3,3 4
2929,2052.5068359375,1915.2874755859375,1652.1793212890625,294.65625,4.84375,0.0,6.71875,13.4375,4.8125,0.90625,1.90625,0.0,5.8125,56.70000076293945,1.75,1.9375,3.84375,12.1875,12.1875,0.0,3,3 2
2930,2055.25439453125,1914.502197265625,1650.2493896484375,325.0062561035156,4.84375,0.0,6.78125,13.5625,4.8125,0.96875,1.96875,0.0,5.8125,57.306251525878906,-0.59375,2.0,3.84375,14.59375,14.59375,0.0,3,3 4
2931,2071.729736328125,1932.1995849609375,1668.204833984375,306.26873779296875,4.84375,0.0,6.75,13.5,4.8125,0.9375,1.9375,0.0,5.8125,59.34375,4.5625,1.9375,3.84375,14.4375,14.4375,0.0,3,3 1
2932,2146.07763671875,2005.451904296875,1731.733642578125,348.29998779296875,4.96875,0.0,7.0625,14.09375,4.96875,1.09375,2.0625,0.0,5.96875,61.21875,2.4375,2.0,3.96875,14.21875,14.21875,0.0,3,3 2
2933,2051.5244140625,1913.7984619140625,1651.3687744140625,331.63751220703125,4.8125,0.0,6.625,13.25,4.78125,0.84375,1.84375,0.0,5.78125,58.224998474121094,3.09375,1.9375,3.8125,15.53125,15.53125,0.0,3,3 2
2934,1931.8553466796875,1793.064208984375,1544.173583984375,301.35626220703125,4.625,0.0,6.21875,12.4375,4.5625,0.65625,1.65625,0.0,5.5625,55.068748474121094,0.59375,1.96875,3.625,15.71875,15.71875,0.0,3,3 2
2935,2068.20166015625,1930.0673828125,1665.284912109375,326.1000061035156,4.84375,0.0,6.875,13.71875,4.8125,1.03125,2.03125,0.0,5.84375,59.025001525878906,-0.21875,1.9375,3.84375,14.65625,14.65625,0.0,3,3 1
2936,1949.220458984375,1814.7857666015625,1564.392333984375,283.26251220703125,4.65625,0.0,6.3125,12.625,4.59375,0.71875,1.71875,0.0,5.59375,54.974998474121094,3.6875,2.0,3.65625,10.15625,10.15625,0.0,3,3 1
2937,2006.26123046875,1871.037353515625,1613.3447265625,309.625,4.75,0.0,6.4375,12.875,4.6875,0.75,1.75,0.0,5.6875,58.493751525878906,2.71875,2.0,3.75,12.34375,12.34375,0.0,3,3 2
2938,1960.9903564453125,1830.8818359375,1577.023681640625,320.08123779296875,4.6875,0.0,6.5,12.96875,4.6875,0.78125,1.8125,0.0,5.6875,55.587501525878906,0.65625,2.0,3.6875,11.0,11.0,0.0,3,3 4
2939,2086.734130859375,1945.5601806640625,1679.2877197265625,321.8812561035156,4.875,0.0,6.71875,13.40625,4.875,0.84375,1.8125,0.0,5.875,59.32500076293945,0.09375,2.0,3.875,12.3125,12.3125,0.0,3,3 2
2940,1886.5880126953125,1745.946044921875,1503.323974609375,286.8500061035156,4.53125,0.0,6.21875,12.34375,4.40625,0.75,1.75,0.0,5.4375,53.912498474121094,3.75,1.96875,3.53125,10.59375,10.59375,0.0,3,3 1
2941,1949.9036865234375,1815.577880859375,1564.671142578125,289.71875,4.65625,0.0,6.375,12.75,4.625,0.75,1.75,0.0,5.625,56.056251525878906,2.5625,1.96875,3.65625,11.40625,11.40625,0.0,3,3 1
2942,2052.76904296875,1914.001953125,1651.845458984375,310.60626220703125,4.8125,0.0,6.75,13.46875,4.8125,0.90625,1.9375,0.0,5.8125,58.82500076293945,4.03125,2.0,3.8125,10.71875,10.71875,0.0,3,3 2
2943,1794.4569091796875,1675.4564208984375,1441.956787109375,261.78125,4.40625,0.0,6.0,11.90625,4.3125,0.625,1.6875,0.0,5.28125,51.506248474121094,2.25,2.0,3.40625,7.75,7.75,0.0,3,3 4
2944,1995.855224609375,1864.557373046875,1609.0235595703125,298.28125,4.71875,0.0,6.625,13.21875,4.71875,0.875,1.90625,0.0,5.71875,56.724998474121094,3.15625,1.90625,3.71875,10.34375,10.34375,0.0,3,3 2
2945,2120.806640625,1970.901123046875,1702.044189453125,318.75,4.90625,0.0,7.125,14.25,4.90625,1.21875,2.21875,0.0,5.90625,59.275001525878906,3.25,2.0,3.90625,9.90625,9.90625,0.0,3,3 2
2946,2003.7481689453125,1885.2132568359375,1626.8388671875,319.88751220703125,4.75,0.0,6.6875,13.34375,4.75,0.90625,1.9375,0.0,5.75,57.79375076293945,1.875,2.0,3.75,8.625,8.625,0.0,3,3 2
2947,1993.95458984375,1862.4931640625,1604.652099609375,320.90625,4.75,0.0,6.5,12.96875,4.65625,0.84375,1.8125,0.0,5.65625,56.743751525878906,1.1875,1.90625,3.75,9.09375,9.09375,0.0,3,3 2
2948,1948.9473876953125,1814.0191650390625,1562.6634521484375,304.0,4.65625,0.0,6.5,13.0,4.625,0.875,1.875,0.0,5.625,54.78125,0.0625,1.9375,3.65625,6.90625,6.90625,0.0,3,3 2
2949,2001.352783203125,1872.986572265625,1615.2979736328125,304.1499938964844,4.75,0.0,6.625,13.15625,4.65625,0.9375,1.875,0.0,5.6875,57.29999923706055,-0.09375,2.0,3.75,7.8125,7.8125,0.0,3,3 2
2950,2043.871826171875,1899.489501953125,1639.5787353515625,314.28125,4.78125,0.0,6.65625,13.3125,4.78125,0.875,1.875,0.0,5.78125,57.193748474121094,1.75,1.96875,3.78125,6.71875,6.71875,0.0,3,3 2
2951,1946.8973388671875,1831.4541015625,1577.9183349609375,298.4750061035156,4.6875,0.0,6.53125,13.03125,4.65625,0.875,1.84375,0.0,5.65625,57.04999923706055,-0.8125,2.0,3.6875,7.8125,7.8125,0.0,3,3 1
2952,2159.670654296875,2014.25390625,1739.8046875,321.6875,5.0,0.0,6.9375,13.84375,5.0,0.90625,1.9375,0.0,6.0,60.6875,0.84375,2.0,4.0,10.15625,10.15625,0.0,3,3 1
2953,1937.4312744140625,1800.822509765625,1551.412109375,307.4437561035156,4.625,0.0,6.375,12.6875,4.5625,0.78125,1.8125,0.0,5.53125,55.20624923706055,2.21875,2.0,3.625,8.34375,8.34375,0.0,3,3 4
2954,1906.0374755859375,1767.817626953125,1522.6448974609375,289.6312561035156,4.5625,0.0,6.40625,12.78125,4.53125,0.84375,1.875,0.0,5.53125,55.118751525878906,1.53125,2.0,3.5625,6.71875,6.71875,0.0,3,3 4
2955,2035.1240234375,1901.2974853515625,1639.399169921875,311.3500061035156,4.8125,0.0,6.78125,13.5625,4.78125,1.0,2.0,0.0,5.78125,56.91875076293945,0.59375,2.0,3.8125,8.71875,8.71875,0.0,3,3 1
2956,1873.1080322265625,1759.427978515625,1515.5048828125,311.5375061035156,4.53125,0.0,6.5,12.96875,4.53125,0.96875,1.9375,0.0,5.53125,53.900001525878906,5.0,2.0,3.53125,9.65625,9.65625,0.0,3,3 2
2957,1946.9000244140625,1817.3675537109375,1566.612548828125,285.2250061035156,4.65625,0.0,6.375,12.6875,4.59375,0.71875,1.75,0.0,5.625,55.962501525878906,2.75,2.0,3.65625,9.09375,9.09375,0.0,3,3 2
2958,1954.4697265625,1818.12109375,1567.5274658203125,282.1875,4.65625,0.0,6.40625,12.8125,4.625,0.78125,1.78125,0.0,5.625,55.224998474121094,5.3125,2.0,3.65625,7.9375,7.9375,0.0,3,3 2
2959,2070.67626953125,1930.7496337890625,1666.0345458984375,330.04998779296875,4.84375,0.0,6.96875,13.90625,4.8125,1.15625,2.125,0.0,5.8125,56.95000076293945,4.90625,2.0,3.84375,8.71875,8.71875,0.0,3,3 2
2960,2053.306884765625,1921.8271484375,1657.489501953125,325.8500061035156,4.84375,0.0,6.78125,13.5,4.84375,0.875,1.9375,0.0,5.84375,57.63750076293945,0.34375,1.96875,3.84375,8.6875,8.6875,0.0,3,3 2
2961,1826.4227294921875,1697.962646484375,1459.6995849609375,276.3687438964844,4.46875,0.0,6.21875,12.4375,4.375,0.84375,1.84375,0.0,5.375,52.275001525878906,2.90625,1.96875,3.46875,7.46875,7.46875,0.0,3,3 2
2962,2088.419189453125,1938.0865478515625,1673.691162109375,313.53125,4.84375,0.0,6.875,13.65625,4.84375,0.96875,2.0,0.0,5.84375,58.96875,2.53125,2.0,3.84375,6.90625,6.90625,0.0,3,3 4
2963,1964.3037109375,1826.0101318359375,1572.407958984375,308.96875,4.6875,0.0,6.59375,13.09375,4.59375,0.9375,1.96875,0.0,5.59375,54.974998474121094,1.15625,2.0,3.6875,7.875,7.875,0.0,3,3 2
2964,2059.462890625,1920.451904296875,1655.902587890625,316.6625061035156,4.84375,0.0,6.90625,13.78125,4.8125,1.0625,2.09375,0.0,5.8125,58.95624923706055,-0.875,2.0,3.84375,7.78125,7.78125,0.0,3,3 1
