generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_damage,mean_gate_distance,success_rate,champion_id,elite_ids
150,345.14886474609375,342.9609375,302.30999755859375,627.7999877929688,1.0,0.0,2.0,7.0,18.53125,0.0,3,3 1
151,335.6357727050781,330.671875,290.196533203125,629.5999755859375,1.0,0.0,2.0,7.0,19.375,0.0,3,3 4
152,365.6372375488281,361.9111328125,320.60394287109375,641.0,1.0,0.0,2.0,7.0,18.3125,0.0,3,3 4
153,364.4572448730469,359.4172668457031,317.6572570800781,650.0,1.0,0.0,2.0,7.0,18.21875,0.0,3,3 4
154,386.16375732421875,381.12371826171875,339.3637390136719,650.0,1.0,0.0,2.0,7.0,18.375,0.0,3,3 4
155,402.5051574707031,398.3277893066406,356.76123046875,646.2000122070312,1.0,0.0,2.0,7.0,18.0625,0.0,3,3 1
156,354.7172546386719,350.6136169433594,311.1595764160156,604.0,1.0,0.0,2.0,7.0,16.71875,0.0,3,3 1
157,401.0670471191406,396.02703857421875,354.9154968261719,637.0,1.0,0.0,2.0,7.0,18.03125,0.0,3,3 4
158,395.72198486328125,390.87884521484375,349.4813537597656,643.0,1.0,0.0,2.0,7.0,18.1875,0.0,3,3 2
159,400.49517822265625,395.84893798828125,354.08892822265625,650.0,1.0,0.0,2.0,7.0,18.375,0.0,3,3 2
160,404.2795715332031,399.6333312988281,358.2873840332031,642.0,1.0,0.0,2.0,7.0,18.25,0.0,3,3 4
161,380.4234313964844,379.14251708984375,340.192626953125,593.7999877929688,1.0,0.0,2.0,7.006249904632568,19.09375,0.0,0,0 1
162,414.11090087890625,409.2845153808594,367.7170104980469,646.2000122070312,1.0,0.0,2.0,7.0,18.5,0.0,3,3 4
163,407.6931457519531,406.7864685058594,367.64459228515625,598.2000122070312,1.0,0.0,2.0,6.84375,17.71875,0.0,1,1 4
164,405.2777404785156,404.742431640625,365.21746826171875,605.2000122070312,1.0,0.0,2.0,7.0,18.0625,0.0,1,1 0
165,396.7782287597656,392.8813171386719,352.00885009765625,632.2000122070312,1.0,0.0,2.0,7.0,18.6875,0.0,3,3 0
166,345.28125,342.5086669921875,304.22271728515625,586.4000244140625,1.0,0.0,2.0,6.78125,20.4375,0.0,3,3 1
167,375.6761474609375,373.6346435546875,332.06585693359375,646.2000122070312,1.0,0.0,2.0,7.0,18.9375,0.0,3,3 1
168,397.6788635253906,395.9687805175781,354.5965576171875,642.2000122070312,1.0,0.0,2.0,7.0,19.15625,0.0,3,3 1
169,393.199462890625,389.35955810546875,348.10394287109375,640.2000122070312,1.0,0.0,2.0,7.0,18.75,0.0,3,3 2
170,371.0058898925781,368.4263000488281,329.6437683105469,601.4000244140625,1.0,0.0,2.0,6.78125,21.09375,0.0,3,3 4
171,380.7542724609375,376.8281555175781,335.26007080078125,646.2000122070312,1.0,0.0,2.0,7.0,18.5,0.0,3,3 4
172,376.8305358886719,371.71893310546875,330.6582946777344,635.7999877929688,1.0,0.0,2.0,7.0,17.9375,0.0,3,3 1
173,376.61114501953125,373.078125,331.510009765625,646.2000122070312,1.0,0.0,2.0,7.0,18.3125,0.0,3,3 2
174,380.013671875,375.367431640625,333.607421875,650.0,1.0,0.0,2.0,7.0,19.15625,0.0,3,3 4
175,371.4336242675781,367.4238586425781,326.3194885253906,637.2000122070312,1.0,0.0,2.0,7.0,19.46875,0.0,3,3 2
176,386.3450012207031,381.30499267578125,339.5450134277344,650.0,1.0,0.0,2.0,7.0,18.96875,0.0,3,3 4
177,393.8919677734375,389.29119873046875,347.72216796875,646.2000122070312,1.0,0.0,2.0,7.0,18.6875,0.0,3,3 4
178,386.346923828125,382.09442138671875,341.2047424316406,635.0,1.0,0.0,2.0,7.0,19.5,0.0,3,3 1
179,385.5957336425781,381.34320068359375,340.8785400390625,632.0,1.0,0.0,2.0,7.0,20.25,0.0,3,3 1
