generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
1651,619.70751953125,613.1575927734375,515.8848876953125,260.38751220703125,2.59375,0.0,3.03125,3.03125,1.5625,0.0,0.5,0.0,0.96875,28.837499618530273,34.1875,1.0,1.59375,0.53125,0.53125,0.0,3,3 2
1652,583.8543701171875,576.3284912109375,482.58917236328125,260.03125,2.53125,0.0,2.875,2.875,1.53125,0.0,0.34375,0.0,1.0,27.362499237060547,37.53125,1.0,1.53125,0.78125,0.78125,0.0,3,3 4
1653,635.2095947265625,628.5093994140625,529.7102661132812,274.6937561035156,2.625,0.0,2.84375,2.84375,1.40625,0.0,0.40625,0.03125,1.0,30.21875,27.90625,1.0,1.625,0.875,0.875,0.0,3,3 4
1654,603.3925170898438,598.6224365234375,502.9911193847656,264.23748779296875,2.5625,0.0,2.9375,2.9375,1.5,0.0,0.40625,0.0,1.03125,28.024999618530273,39.09375,1.0,1.5625,1.21875,1.21875,0.0,3,3 4
1655,604.4955444335938,596.1063842773438,499.0882263183594,267.5062561035156,2.59375,0.0,2.875,2.875,1.5625,0.0,0.3125,0.0,1.0,28.918750762939453,40.1875,1.0,1.59375,1.09375,1.09375,0.0,3,3 1
1656,506.82415771484375,501.734130859375,417.39300537109375,241.2624969482422,2.375,0.0,2.46875,2.46875,1.3125,0.0,0.15625,0.0,1.0,25.850000381469727,39.625,1.0,1.375,0.90625,0.90625,0.0,3,3 1
1657,493.6778564453125,487.91741943359375,407.4778747558594,224.0187530517578,2.3125,0.0,2.375,2.375,1.28125,0.0,0.15625,0.0,0.9375,25.631250381469727,41.15625,1.0,1.3125,0.84375,0.84375,0.0,3,3 4
1658,449.6281433105469,444.5021057128906,369.79559326171875,226.39999389648438,2.1875,0.0,2.3125,2.3125,1.125,0.0,0.21875,0.0,0.96875,23.674999237060547,39.1875,1.0,1.1875,0.96875,0.96875,0.0,3,3 4
1659,544.580078125,537.7484130859375,448.3389587402344,272.54376220703125,2.4375,0.0,2.625,2.625,1.375,0.0,0.28125,0.0,0.96875,27.262500762939453,35.125,1.0,1.4375,0.75,0.75,0.0,3,3 4
1660,527.705078125,520.2479248046875,434.2906799316406,248.53125,2.40625,0.0,2.4375,2.4375,1.3125,0.0,0.125,0.0,1.0,26.212499618530273,38.59375,1.0,1.40625,0.90625,0.90625,0.0,3,3 1
1661,555.9439697265625,552.0465087890625,461.4601135253906,268.8187561035156,2.46875,0.0,2.65625,2.65625,1.34375,0.0,0.3125,0.0,1.0,26.850000381469727,36.9375,1.0,1.46875,1.15625,1.15625,0.0,3,3 2
1662,484.9095764160156,478.8734436035156,398.7866516113281,243.61874389648438,2.28125,0.0,2.375,2.375,1.15625,0.0,0.21875,0.0,1.0,25.518749237060547,40.25,1.0,1.28125,1.15625,1.15625,0.0,3,3 1
1663,591.3660888671875,585.4459838867188,490.31536865234375,277.75,2.53125,0.0,2.9375,2.9375,1.4375,0.0,0.5625,0.0,0.9375,28.78125,41.5,1.0,1.53125,2.09375,2.09375,0.0,3,3 4
1664,554.9488525390625,547.2698974609375,455.47930908203125,284.6312561035156,2.46875,0.0,2.8125,2.8125,1.375,0.0,0.4375,0.0,1.0,25.674999237060547,37.40625,1.0625,1.46875,2.125,2.125,0.0,3,3 4
1665,491.1803894042969,487.2894592285156,405.9681091308594,261.0562438964844,2.28125,0.0,2.46875,2.46875,1.21875,0.0,0.25,0.0,1.0,25.450000762939453,38.40625,2.59375,1.28125,1.40625,1.40625,0.0,3,3 1
1666,601.0858764648438,596.2405395507812,498.2900390625,314.8374938964844,2.5625,0.0,2.8125,2.8125,1.375,0.0,0.4375,0.0,1.0,29.631250381469727,33.71875,1.0,1.5625,2.5625,2.5625,0.0,3,3 0
1667,524.8080444335938,518.0877685546875,431.4671325683594,278.95001220703125,2.375,0.0,2.53125,2.53125,1.3125,0.0,0.21875,0.0,1.0,26.65625,38.625,1.0,1.375,1.9375,1.9375,0.0,3,3 4
1668,536.3673706054688,529.1116333007812,441.19158935546875,272.71875,2.40625,0.0,2.625,2.625,1.375,0.0,0.28125,0.0,0.96875,26.231250762939453,37.34375,1.0,1.40625,1.53125,1.53125,0.0,3,3 0
1669,503.8017578125,497.9768981933594,414.9779357910156,260.3187561035156,2.3125,0.0,2.5625,2.5625,1.28125,0.0,0.28125,0.0,1.0,25.600000381469727,38.15625,1.0,1.3125,1.6875,1.6875,0.0,3,3 4
1670,631.1790161132812,625.0116577148438,522.5930786132812,317.38751220703125,2.65625,0.0,2.90625,2.90625,1.5625,0.0,0.3125,0.0,1.03125,29.787500381469727,34.8125,1.0,1.65625,3.40625,3.40625,0.0,3,3 1
1671,614.046630859375,606.9100341796875,508.92578125,298.79998779296875,2.5625,0.0,3.03125,3.03125,1.53125,0.0,0.5,0.0,1.0,29.412500381469727,34.5,1.0,1.5625,2.125,2.125,0.0,3,3 2
1672,648.0396118164062,641.910888671875,538.0213012695312,293.01251220703125,2.6875,0.0,3.25,3.25,1.6875,0.0,0.5625,0.0,1.0,29.799999237060547,36.46875,1.0,1.6875,2.84375,2.84375,0.0,3,3 0
1673,635.3429565429688,628.9599609375,528.3231811523438,282.95623779296875,2.625,0.0,3.21875,3.21875,1.59375,0.0,0.625,0.0,1.0,29.799999237060547,35.65625,1.0,1.625,3.71875,3.71875,0.0,3,3 1
1674,695.0838623046875,689.9501953125,580.2404174804688,291.4937438964844,2.8125,0.0,3.34375,3.34375,1.71875,0.0,0.625,0.0,1.0,31.306249618530273,34.65625,1.0,1.8125,3.90625,3.90625,0.0,3,3 2
1675,665.0242919921875,660.1170043945312,554.6400146484375,290.5625,2.71875,0.0,3.3125,3.3125,1.6875,0.0,0.65625,0.0,0.96875,30.618749618530273,31.09375,1.0,1.71875,4.8125,4.8125,0.0,3,3 4
1676,650.1301879882812,645.3229370117188,542.3256225585938,272.1937561035156,2.6875,0.0,3.28125,3.28125,1.59375,0.0,0.65625,0.0,1.03125,29.931249618530273,31.375,1.0,1.6875,3.75,3.75,0.0,3,3 4
1677,713.7281494140625,707.681640625,596.83349609375,303.4312438964844,2.8125,0.0,3.40625,3.40625,1.65625,0.0,0.6875,0.0,1.0625,32.92499923706055,29.28125,1.0,1.8125,3.34375,3.34375,0.0,3,3 4
1678,765.486572265625,762.6333618164062,643.8428344726562,309.2562561035156,2.96875,0.0,3.625,3.625,1.8125,0.0,0.75,0.0,1.0625,34.11249923706055,33.65625,1.0,1.96875,4.96875,4.96875,0.0,3,3 1
1679,764.8794555664062,758.8450927734375,640.0072021484375,308.625,2.96875,0.0,3.65625,3.65625,1.84375,0.0,0.78125,0.0,1.03125,33.85625076293945,30.15625,1.0,1.96875,4.34375,4.34375,0.0,3,3 2
