generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,mean_boss_damage,mean_boss_hits,mean_boss_health_remaining,mean_floor5_entry_alive,mean_floor5_entry_power_score,mean_alive_attack_bonus,mean_alive_range_bonus,mean_powered_agent_deaths,mean_miniboss_defeated,success_rate,champion_id,elite_ids
1084,8619.8095703125,6332.1845703125,5583.1513671875,414.375,9.671875,0.96875,16.171875,32.328125,9.546875,5.53125,5.765625,1.859375,9.625,160.8078155517578,45.46875,2.0,8.671875,224.578125,88.484375,68.20780944824219,3.221874952316284,90.5234375,4.875,24.546875,0.3736979067325592,0.00937500037252903,1.0,0.96875,0.0,3,3 1
1085,8255.060546875,6096.634765625,5375.6904296875,403.1499938964844,9.40625,0.90625,15.828125,31.625,9.359375,5.40625,5.609375,1.84375,9.40625,154.5437469482422,44.453125,2.0,8.40625,212.71875,86.375,65.0250015258789,3.090625047683716,79.5625,4.59375,23.4375,0.3470052182674408,0.0,1.0,0.90625,0.0,3,3 1
1086,8268.5361328125,6095.7939453125,5373.16259765625,402.3374938964844,9.4375,0.90625,15.84375,31.65625,9.375,5.34375,5.71875,1.75,9.46875,153.46875,45.65625,2.0,8.4375,205.265625,78.8125,65.15937805175781,3.106250047683716,91.703125,4.90625,24.9453125,0.2897135317325592,0.0078125,1.015625,0.90625,0.0,3,3 1
1087,8803.7197265625,6463.43798828125,5704.8349609375,412.65936279296875,9.8125,0.96875,16.515625,32.96875,9.75,5.71875,5.875,1.890625,9.734375,163.5671844482422,46.296875,2.0,8.8125,228.9375,97.78125,69.8140640258789,3.203125,94.9921875,4.921875,25.0,0.1009114608168602,0.00390625,1.0,0.96875,0.0,3,3 1
1088,8838.08203125,6454.6845703125,5697.86181640625,409.375,9.78125,0.96875,16.515625,33.015625,9.71875,5.734375,5.84375,1.953125,9.765625,164.640625,44.734375,2.0,8.78125,191.296875,80.875,72.62031555175781,3.315624952316284,73.7734375,4.890625,24.546875,0.17578125,0.01875000074505806,0.984375,0.96875,0.0,3,3 4
1089,8582.576171875,6294.09619140625,5549.09228515625,406.046875,9.609375,0.96875,16.171875,32.296875,9.515625,5.53125,5.78125,1.875,9.59375,160.6453094482422,44.34375,2.0,8.609375,172.640625,77.203125,68.77030944824219,3.190624952316284,75.2109375,4.8125,24.203125,0.3111979067325592,0.03437500074505806,0.96875,0.953125,0.0,3,3 2
1090,8854.0048828125,6489.19384765625,5726.6689453125,414.90936279296875,9.828125,0.984375,16.46875,32.890625,9.765625,5.6875,5.875,1.84375,9.71875,166.3984375,46.234375,2.0,8.828125,180.0,82.5625,71.71875,3.346874952316284,85.46875,4.984375,24.9453125,0.263671875,0.01875000074505806,1.0,0.96875,0.0,3,3 1
1091,8655.33203125,6379.72509765625,5628.56787109375,415.21875,9.703125,0.96875,16.171875,32.25,9.59375,5.625,5.6875,1.875,9.46875,162.0515594482422,44.96875,2.0,8.703125,185.703125,87.421875,67.5546875,3.200000047683716,97.2265625,4.84375,24.21875,0.244140625,0.0,1.0,0.96875,0.0,3,3 1
1092,8776.5283203125,6447.189453125,5687.21630859375,417.51873779296875,9.796875,0.984375,16.296875,32.53125,9.671875,5.578125,5.78125,1.84375,9.65625,164.1218719482422,44.53125,2.0,8.796875,197.921875,92.5625,69.3499984741211,3.2281250953674316,90.125,4.90625,24.546875,0.2174479216337204,0.0062500000931322575,0.984375,0.984375,0.0,3,3 2
1093,8867.173828125,6529.8427734375,5765.064453125,409.0874938964844,9.875,0.984375,16.46875,32.890625,9.6875,5.671875,5.890625,1.875,9.765625,164.265625,45.28125,2.0,8.875,211.296875,96.328125,69.68437194824219,3.284374952316284,99.078125,4.890625,24.546875,0.205078125,0.0,1.015625,0.984375,0.0,3,3 1
1094,8667.78125,6390.50439453125,5634.6025390625,407.6468811035156,9.75,0.984375,16.140625,32.21875,9.625,5.453125,5.734375,1.78125,9.625,160.5031280517578,42.421875,2.0,8.75,196.5,90.71875,67.27656555175781,3.171875,89.8671875,4.921875,24.546875,0.31640625,0.015625,0.96875,0.984375,0.0,3,3 4
1095,8876.5107421875,6531.61865234375,5764.38134765625,406.0406188964844,9.875,1.0,16.46875,32.90625,9.765625,5.640625,5.90625,1.796875,9.796875,164.54531860351562,43.515625,2.0,8.875,217.71875,102.671875,70.9828109741211,3.331249952316284,87.2734375,4.90625,24.609375,0.3567708432674408,0.03437500074505806,0.984375,0.984375,0.0,3,3 1
1096,8815.181640625,6486.9443359375,5727.76708984375,403.01873779296875,9.828125,0.96875,16.578125,33.078125,9.78125,5.734375,5.921875,1.875,9.765625,162.4578094482422,42.828125,2.0,8.828125,240.546875,117.3125,70.8734359741211,3.346874952316284,93.1328125,4.90625,24.609375,0.283203125,0.0,1.0,0.96875,0.0,3,3 2
1097,8414.640625,6198.7177734375,5464.22900390625,395.171875,9.546875,0.9375,16.0,31.9375,9.4375,5.40625,5.734375,1.84375,9.515625,154.5625,42.953125,1.96875,8.546875,254.875,114.203125,66.2718734741211,3.153125047683716,86.140625,5.0,24.875,0.2890625,0.01015624962747097,0.984375,0.9375,0.0,3,3 2
1098,9067.228515625,6635.98291015625,5860.65478515625,410.88751220703125,9.984375,1.0,16.6875,33.34375,9.84375,5.828125,5.9375,1.90625,9.828125,169.8015594482422,44.484375,2.0,8.984375,264.28125,119.5625,74.9312515258789,3.46875,80.03125,5.0,24.9375,0.166015625,0.0,1.0,1.0,0.0,3,3 2
1099,8283.248046875,6124.83203125,5399.8818359375,397.55938720703125,9.4375,0.921875,15.765625,31.5,9.25,5.296875,5.671875,1.84375,9.4375,154.1203155517578,41.71875,2.0,8.4375,209.265625,87.71875,65.5531234741211,3.125,84.109375,4.734375,23.7734375,0.609375,0.04453125223517418,0.96875,0.90625,0.0,3,3 1
1100,9085.9892578125,6666.1435546875,5884.6806640625,409.67498779296875,10.0,1.03125,16.828125,33.609375,9.890625,5.90625,5.953125,1.96875,9.890625,169.5343780517578,43.71875,1.984375,9.0,233.203125,98.0,74.7890625,3.534374952316284,86.0546875,4.984375,25.0,0.33203125,0.01875000074505806,1.0,1.0,0.0,3,3 2
1101,8702.4716796875,6369.03955078125,5620.375,403.1499938964844,9.703125,0.953125,16.234375,32.453125,9.546875,5.59375,5.8125,1.875,9.625,163.4109344482422,43.75,2.0,8.703125,195.640625,80.96875,71.8046875,3.3843750953674316,79.7265625,5.0,25.0,0.234375,0.0,1.0,0.953125,0.0,3,3 2
1102,8744.1748046875,6432.43310546875,5677.13720703125,407.99688720703125,9.765625,0.96875,16.328125,32.640625,9.65625,5.625,5.8125,1.875,9.671875,163.68124389648438,43.359375,2.0,8.765625,181.078125,72.109375,69.80781555175781,3.331249952316284,93.1484375,4.90625,24.546875,0.357421875,0.00937500037252903,0.984375,0.96875,0.0,3,3 2
1103,8832.162109375,6477.98291015625,5716.8154296875,399.4437561035156,9.8125,0.984375,16.5625,33.125,9.78125,5.703125,5.90625,1.875,9.859375,165.609375,43.15625,2.0,8.8125,155.96875,58.578125,72.0843734741211,3.371875047683716,83.640625,4.953125,24.9375,0.3059895932674408,0.01875000074505806,0.984375,0.96875,0.0,3,3 2
1104,8860.994140625,6493.46728515625,5733.76806640625,402.92498779296875,9.828125,0.96875,16.5,32.953125,9.6875,5.734375,5.84375,1.953125,9.734375,166.24374389648438,43.28125,1.984375,8.828125,143.6875,48.515625,73.203125,3.450000047683716,81.484375,4.921875,24.546875,0.263671875,0.0,1.0,0.96875,0.0,3,3 2
1105,8846.8759765625,6489.49462890625,5729.4208984375,403.76251220703125,9.828125,0.96875,16.625,33.21875,9.796875,5.765625,5.921875,1.90625,9.828125,166.7921905517578,43.59375,1.984375,8.828125,133.796875,45.890625,72.6109390258789,3.378124952316284,81.0078125,5.0,25.0,0.25390625,0.01171875,1.0,0.96875,0.0,3,3 1
1106,9103.5419921875,6671.171875,5889.28271484375,407.8812561035156,10.0,1.03125,16.765625,33.53125,9.890625,5.859375,5.953125,1.921875,9.90625,172.89688110351562,43.984375,2.0,9.0,122.609375,39.828125,76.2421875,3.528125047683716,78.7890625,4.984375,24.8828125,0.3125,0.03750000149011612,1.0,1.0,0.0,3,3 2
1107,9074.822265625,6622.7294921875,5846.23779296875,411.390625,9.953125,1.015625,16.734375,33.453125,9.875,5.84375,5.890625,1.953125,9.890625,172.18905639648438,42.46875,2.0,8.953125,111.125,33.515625,76.30937194824219,3.5250000953674316,73.140625,5.0,24.8125,0.166015625,0.0,1.0,1.0,0.0,3,3 2
1108,9044.0625,6593.84619140625,5824.1962890625,412.66876220703125,9.921875,0.984375,16.765625,33.515625,9.875,5.859375,5.9375,1.953125,9.890625,171.8125,42.984375,2.0,8.921875,111.984375,32.859375,77.26875305175781,3.581249952316284,68.34375,5.0,25.0,0.21484375,0.0,1.0,0.984375,0.0,3,3 2
1109,8612.7392578125,6329.03759765625,5583.03515625,416.42498779296875,9.65625,0.953125,16.15625,32.3125,9.5625,5.625,5.71875,1.875,9.53125,162.89999389648438,41.796875,2.0,8.65625,99.140625,25.828125,69.83125305175781,3.293750047683716,82.40625,4.890625,24.546875,0.3515625,0.01875000074505806,0.984375,0.9375,0.0,3,3 2
1110,8559.046875,6292.4208984375,5547.51318359375,423.01251220703125,9.640625,0.953125,16.140625,32.265625,9.484375,5.546875,5.75,1.921875,9.5625,161.10311889648438,40.890625,2.0,8.640625,105.5625,28.34375,67.83906555175781,3.25,83.6171875,5.0,25.0,0.408203125,0.02187500149011612,0.96875,0.953125,0.0,3,3 1
1111,8797.74609375,6459.1259765625,5695.49267578125,420.87188720703125,9.765625,1.015625,16.4375,32.84375,9.65625,5.6875,5.8125,1.9375,9.75,164.9718780517578,40.6875,2.0,8.765625,112.109375,31.78125,70.0765609741211,3.2750000953674316,86.4921875,4.90625,24.609375,0.513671875,0.07578124850988388,0.921875,0.96875,0.0,3,3 2
1112,8968.541015625,6539.5341796875,5770.89208984375,426.72186279296875,9.859375,1.0,16.6875,33.359375,9.796875,5.8125,5.921875,1.96875,9.859375,171.6843719482422,42.859375,2.0,8.859375,105.875,31.125,74.83280944824219,3.484375,75.2109375,5.0,25.0,0.373046875,0.03437500074505806,0.96875,0.984375,0.0,3,3 2
1113,9010.0888671875,6571.44677734375,5796.8486328125,429.6656188964844,9.875,1.03125,16.640625,33.265625,9.8125,5.765625,5.90625,1.921875,9.859375,171.8125,41.921875,2.0,8.875,109.0625,37.640625,74.3843765258789,3.409374952316284,75.578125,4.921875,24.609375,0.29296875,0.03750000149011612,0.96875,0.984375,0.0,3,3 2
1114,8756.8505859375,6398.4638671875,5641.5849609375,419.8343811035156,9.734375,0.984375,16.375,32.671875,9.65625,5.6875,5.75,1.953125,9.625,166.5109405517578,41.53125,2.0,8.734375,109.015625,40.859375,71.60624694824219,3.340625047683716,64.78125,4.984375,24.9375,0.34765625,0.02812499925494194,0.96875,0.96875,0.0,3,3 2
1115,8872.85546875,6497.89990234375,5737.52099609375,409.84375,9.828125,0.96875,16.578125,33.109375,9.75,5.75,5.890625,1.90625,9.8125,167.99844360351562,44.015625,2.0,8.828125,105.625,43.046875,72.8609390258789,3.3687500953674316,83.1953125,4.921875,24.609375,0.15625,0.0,1.015625,0.96875,0.0,3,3 2
